"ID","Tank","Subject","Type","Sex","Object_placement","Distance_moved","Velocity","In_zone2_Freq","In_zone_2_cumulative","Zone_2_latency_to_first","In_zone1_Freq","In_zone_1_cumulative","Zone_1_latency_to_first","In_zoneN_Freq","In_zone_N_cumulative","Zone_N_latency_to_first","Moving_","Not_Moving_","Object_1_zone_Freq...19","Object_1_zone_Freq...20","Object_1_zone_latency","Object_2_zone_Freq...22","Object_2_zone_Freq...23","Object_2_zone_latency","Zone_2_Neutral_Zone_Zone_1","Turn_angle","Angular_velocity"
68,"E2",17,"Preference NO21b vs FO21","F","Left",1003.01,2.74126,15,33.7727,"2.0356999999999998",26,176.072,"1.46838",40,153.679,"1.7353499999999999",195.594,170.398,2,1.435,"192.624",18,10.6124,"1.63524",7,0.11346,3.39981
69,"E2",18,"Habitation","F",NA,1976.73,6.58904,42,109.365,"0.63390199999999997",38,79.0377,"0",81,109.999,"0.26690599999999998",281.052,18.9504,37,27.7249,"7.5067399999999997",38,22.0865,"6.6725999999999994E-2",14,-0.02291,-0.68667
70,"E2",18,"FO21","F",NA,2084.1,5.77539,19,35.3018,"148.48099999999999",15,20.12,"3.3366E-2",38,303.568,"0.50049699999999997",353.318,7.54083,0,0,"-",7,3.03635,"21.020900000000001",0,-0.38724,-11.6056
71,"E2",18,"Preference NO21a vs FO21","F","Left",2535.83,7.03432,18,31.401,"98.607799999999997",61,103.413,"6.6739000000000007E-2",77,224.812,"0.23358799999999999",355.889,4.60503,8,2.00219,"138.785",34,13.2812,"19.054200000000002",9,-0.78485,-23.5196
72,"E2",18,"Preference NO21b vs FO21","F","Right",2353.22,6.53326,10,22.9646,"3.3377999999999998E-2",71,167.461,"0.36716599999999999",74,167.562,"0.16689399999999999",352.18,8.01091,4,0.534061,"6.6756999999999997E-2",63,41.8236,"3.63829",6,-0.77325,-23.1657
73,"E2",19,"Habitation","F",NA,701.646,2.3331,6,37.4377,"199.2",20,105.039,"0",25,157.992,"1.1344700000000001",143.745,156.991,10,9.276,"200.268",26,34.5681,"100.83499999999999",5,0.518003,15.5245
74,"E2",19,"FO21","F",NA,908.269,2.51695,20,201.783,"0",15,38.0345,"151.87100000000001",34,120.009,"150.16999999999999",208.356,152.505,10,3.06945,"260.77",5,2.80254,"253.43",6,-0.53174,-15.9379
75,"E2",19,"Preference NO21a vs FO21","F","Right",767.884,2.11328,13,60.2043,"116.10599999999999",12,63.94,"104.032",25,238.349,"0",178.345,185.016,11,6.60413,"186.88399999999999",14,11.8074,"106.56699999999999",7,-0.15305,-4.58862
76,"E2",19,"Preference NO21b vs FO21","F","Left",338.316,0.928519,7,27.9533,"275.66399999999999",8,280.834,"0",14,54.7392,"267.15800000000002",83.1929,281.168,4,1.93472,"277.83199999999999",1,0.266857,"351.25099999999998",4,-0.00453,-0.13579
77,"E2",20,"Habitation","M",NA,1353.73,4.51243,25,128.424,"1.43398",18,48.7219,"7.16988",43,122.488,"0",201.49,98.5109,31,17.0076,"16.307300000000001",9,6.10274,"18.008099999999999",10,0.036269,1.08769
78,"E2",20,"FO21","M",NA,1283.16,3.55454,25,171.674,"0",16,116.139,"0.23347799999999999",40,72.6452,"0.100062",182.314,178.678,18,9.40585,"3.3354000000000002E-2",5,2.63497,"165.50299999999999",13,0.279592,8.38257
79,"E2",20,"Preference NO21a vs FO21","M","Left",2396.73,6.65158,55,193.223,"0",73,119.463,"120.931",107,44.5026,"26.688199999999998",170.938,189.653,41,18.4482,"126.169",7,3.13587,"143.04900000000001",38,1.08181,32.428
80,"E2",20,"Preference NO21b vs FO21","M","Right",2105.24,5.84434,51,186.925,"19.2438",12,6.21413,"0",63,164.808,"1.03569",305.227,55.0919,44,73.0995,"20.4465",1,0.066818,"0.80182299999999995",6,0.380679,11.3944
81,"E2",21,"Habitation","M",NA,2122.57,7.07524,38,118.52,"0.40017799999999998",41,84.8712,"1.13384",80,94.9757,"0",286.628,13.3726,35,21.1094,"2.8679399999999999",16,9.97111,"5.1689699999999998",21,-0.03887,-1.16561
82,"E2",21,"FO21","M",NA,2082.93,5.77964,37,126.122,"27.945599999999999",26,84.7039,"0",65,147.732,"2.1009199999999999",320.741,39.7508,27,10.2378,"28.679300000000001",20,8.17026,"85.904399999999995",19,0.146352,4.38864
83,"E2",21,"Preference NO21a vs FO21","M","Right",2590.73,7.19463,45,98.6437,"0",42,72.1319,"13.2392",89,187.083,"3.4681999999999999",340.951,19.1418,35,14.9066,"0",19,12.1387,"22.976800000000001",23,-0.29798,-8.93545
84,"E2",21,"Preference NO21b vs FO21","M","Left",2699.25,7.487,56,147.998,"3.3348000000000003E-2",36,50.6556,"22.009699999999999",97,159.904,"0.20008799999999999",346.719,13.8061,49,25.7113,"2.2009699999999999",8,1.6674,"28.5792",26,0.751148,22.5245
85,"E2",22,"Habitation","M",NA,1860.57,6.20182,40,97.2779,"1.2339",33,92.6091,"0",71,108.15,"0.100045",270.357,29.6469,43,26.3787,"16.874400000000001",31,23.6442,"20.776199999999999",19,-0.40921,-12.2706
86,"E2",22,"FO21","M",NA,9.89464,0.027349,0,0,"-",1,361.826,"0",0,0,"-",0,361.792,0,0,"-",0,0,"-",0,0.071857,2.15477
87,"E2",22,"Preference NO21a vs FO21","M","Left",2027.17,5.62279,51,262.75,"0.333482",30,27.3789,"5.5691499999999996",81,69.2976,"0",181.548,178.98,9,4.26857,"0.83370500000000003",13,6.26946,"5.9359799999999998",18,0.184952,5.54618
88,"E2",22,"Preference NO21b vs FO21","M","Right",3157.75,8.76927,142,219.597,"0",2,1.43397,"2.6678500000000001",143,135.327,"2.13428",345.52,14.5731,39,12.6723,"0",1,0.133392,"15.006600000000001",2,1.02928,30.8648
89,"E2",23,"Habitation","M",NA,1519.62,5.06541,15,141.997,"2.5344600000000002",19,106.514,"1.76745",33,50.5892,"0",270.354,29.6465,20,13.506,"2.6678600000000001",20,12.2721,"5.7358900000000004",8,-1.05513,-31.6399
90,"E2",23,"FO21","M",NA,1313.22,3.64453,6,10.3046,"63.761600000000001",15,249.344,"59.0261",21,100.511,"0",267.552,92.8411,1,0.300133,"65.395600000000002",7,1.83414,"60.526800000000001",2,-0.72393,-21.7082
91,"E2",23,"Preference NO21a vs FO21","M","Right",811.833,2.23938,23,79.3682,"81.669300000000007",6,130.124,"106.614",29,152.2,"0",152.734,209.792,20,23.6104,"82.636300000000006",2,1.80079,"108.214",4,0.100918,3.02619
92,"E2",23,"Preference NO21b vs FO21","M","Left",3357.96,8.86321,64,42.5186,"110.982",106,93.0406,"113.116",132,230.067,"0",261.047,121.553,28,5.96927,"111.515",123,23.3102,"113.18300000000001",16,-0.67084,-20.1164
93,"E2",24,"Habitation","F",NA,1044.39,3.48092,15,32.481,"122.45399999999999",26,125.556,"0.20008799999999999",41,141.363,"0",188.017,112.016,10,9.7043,"123.054",23,17.3744,"0.26678400000000002",5,-0.12926,-3.87589
94,"E2",24,"FO21","F",NA,1359,3.76918,21,91.5066,"4.53531",30,118.652,"62.627400000000002",51,149.432,"0",296.496,64.0613,7,57.8586,"4.6687099999999999",23,18.9416,"63.961300000000001",8,-0.78381,-23.5041
95,"E2",24,"Preference NO21a vs FO21","F","Right",948.591,2.60037,11,30.2464,"143.696",21,225.198,"0",31,109.081,"130.38999999999999",231.267,133.525,10,7.66999,"144.863",12,14.0728,"168.30600000000001",10,-0.19367,-5.80773
96,"E2",24,"Preference NO21b vs FO21","F","Left",1019.52,2.77552,13,140.461,"0",30,142.862,"120.486",29,81.1688,"113.416",198.387,168.94,9,4.66871,"111.715",2,0.133391,"121.32",7,-0.60702,-18.2027
97,"E2",25,"Habitation","F",NA,1118.75,3.82305,8,111.918,"34.815800000000003",7,132.694,"0",16,47.4883,"0.166742",236.708,56.0255,37,28.6797,"35.182699999999997",16,7.7035,"0.80036399999999996",1,0.086341,2.58902
98,"E2",25,"FO21","F",NA,1191.22,3.30809,11,83.6368,"162.77199999999999",20,132.992,"0",30,143.096,"75.233099999999993",258.147,101.945,20,13.9395,"165.273",8,78.2678,"0",0,-0.3595,-10.7802
99,"E2",25,"Preference NO21a vs FO21","F","Left",1624.28,4.51075,11,29.6797,"104.98",47,54.5907,"0",58,275.621,"0.33348",273.153,86.9382,10,9.07066,"247.94200000000001",10,6.93638,"0",1,0.220482,6.61159
100,"E2",25,"Preference NO21b vs FO21","F","Right",1091.66,3.02685,6,12.6723,"0.33348100000000003",13,29.6798,"0",19,318.041,"0.10004399999999999",199.422,161.238,5,3.03468,"210.42699999999999",3,2.60115,"252.11199999999999",4,0.116091,3.4812
101,"E2",26,"Habitation","M",NA,1550.17,5.16202,24,117.286,"0",28,80.9032,"1.40063",52,100.479,"1.0338000000000001",272.29,28.1127,24,9.03742,"3.3348000000000003E-2",17,11.9721,"1.6674199999999999",8,-0.73138,-21.9314
102,"E2",26,"FO21","M",NA,1144.53,3.16146,9,186.348,"1.4006099999999999",29,86.5711,"0",39,88.9722,"0.20008699999999999",177.411,184.614,2,1.36726,"2.8345699999999998",23,11.1049,"187.815",2,-0.02966,-0.88942
103,"E2",26,"Preference NO21a vs FO21","M","Left",1342.29,3.72694,14,17.1409,"160.77099999999999",34,245.675,"0",47,97.1427,"159.70400000000001",201.922,158.236,4,3.06802,"234.87",24,16.3405,"0.13339200000000001",4,-1.26326,-37.881
104,"E2",26,"Preference NO21b vs FO21","M","Right",883.288,2.44978,2,0.400175,"230.20099999999999",24,63.9613,"0",26,296.096,"0.40017399999999997",149.432,211.126,0,0,"-",19,14.4396,"3.16805",0,-0.94784,-28.4227
105,"E3",27,"Habitation","M",NA,1400.63,4.66826,13,16.1738,"0",20,229.101,"29.279599999999999",33,54.2574,"0.76700599999999997",267.652,32.381,9,4.96887,"0.20008799999999999",102,101.211,"29.9466",1,-0.95675,-28.6898
106,"E3",27,"FO21","M",NA,1538.24,4.40437,3,2.40105,"109.181",33,304.333,"0",33,41.5181,"0.10004300000000001",310.336,38.917,0,0,"-",95,46.4203,"0.83369700000000002",0,-0.45074,-13.5163
107,"E3",27,"Preference NO21a vs FO21","M","Right",1165.31,3.23226,3,6.1027,"2.9346299999999998",37,180.38,"0.30013200000000001",41,173.977,"0",247.843,112.683,2,1.8008,"350.68900000000002",46,28.3459,"0.93374599999999996",1,-0.08807,-2.64099
108,"E3",27,"Preference NO21b vs FO21","M","Left",1611.74,4.4809,27,51.3224,"111.11499999999999",39,178.178,"0",52,124.921,"103.345",251.91,107.88,1,0.100044,"206.15700000000001",2,0.833697,"177.77799999999999",10,0.274533,8.23238
109,"E3",28,"Habitation","F",NA,1747.46,5.82482,24,166.675,"0.80036099999999999",22,74.9339,"9.0374199999999991",43,56.6256,"0",280.527,19.4755,22,12.3723,"1.6007199999999999",13,7.26995,"11.5052",9,0.420307,12.6035
110,"E3",28,"FO21","F",NA,2062.19,5.72524,31,75.7002,"3.1013700000000002",44,93.4414,"19.275200000000002",75,189.25,"0",341.518,18.7083,9,4.3686,"15.3735",1,0.366829,"126.89",17,-0.3533,-10.5942
